arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_1190B.txt,0B,1,1,0.8801,0.789805,32,242
ESPD_1290B.txt,0B,1,2,9.686286,9.389622,77,242
ESPD_1390B.txt,0B,1,3,8.842236,8.620289,107,242
ESPD_1490B.txt,0B,1,4,9.184475,8.89223,137,242
ESPD_1590B.txt,0B,1,5,0.927326,0.828781,182,242
ESPD_2190B.txt,0B,2,1,1.254554,1.153186,32,194
ESPD_2290B.txt,0B,2,2,22.70624,22.07563,77,194
ESPD_2390B.txt,0B,2,3,23.751932,23.083618,107,194
ESPD_2490B.txt,0B,2,4,24.393742,23.703661,137,194
ESPD_2590B.txt,0B,2,5,1.860552,1.73787,182,194
ESPD_3190B.txt,0B,3,1,1.503693,1.394849,32,150
ESPD_3290B.txt,0B,3,2,23.58503,22.922657,77,150
ESPD_3390B.txt,0B,3,3,23.130011,22.555084,107,150
ESPD_3490B.txt,0B,3,4,23.968267,23.296551,137,150
ESPD_3590B.txt,0B,3,5,1.500275,1.386368,182,150
ESPD_4190B.txt,0B,4,1,1.444345,1.336589,32,106
ESPD_4290B.txt,0B,4,2,22.876003,22.215141,77,106
ESPD_4390B.txt,0B,4,3,23.257111,22.592794,107,106
ESPD_4490B.txt,0B,4,4,22.196451,21.560972,137,106
ESPD_4590B.txt,0B,4,5,1.458148,1.344173,182,106
ESPD_5190B.txt,0B,5,1,1.483557,1.374185,32,60
ESPD_5290B.txt,0B,5,2,24.360636,23.663496,77,61
ESPD_5390B.txt,0B,5,3,24.37496,23.671124,107,62
ESPD_5490B.txt,0B,5,4,22.891813,22.237535,137,63
ESPD_5590B.txt,0B,5,5,1.345779,1.232866,182,64
