arquivo_origem,tipo_luz,identificador_luminaria,PPFD,PFD,PFD-UV,PFD-B,PFD-G,PFD-R,PFD-FR
ESPD_4DB0.txt,Deep Blue,4,13.242395,13.341566,0.019984,13.086644,0.090553,0.065198,0.079186
ESPD_4DB100.txt,Deep Blue,4,111.465767,112.196571,0.165491,110.248833,0.707986,0.508972,0.565267
ESPD_5DB0.txt,Deep Blue,5,14.091277,14.233983,0.025587,13.88752,0.111047,0.092714,0.117121
ESPD_5DB100.txt,Deep Blue,5,125.244576,126.213699,0.191866,123.834457,0.834389,0.575722,0.777263
ESPD_6DB0.txt,Deep Blue,6,12.046643,12.168164,0.022256,11.870907,0.094367,0.081367,0.099262
ESPD_6DB100.txt,Deep Blue,6,106.784248,107.643166,0.180365,105.44503,0.74907,0.590133,0.678537
ESPD_7DB0.txt,Deep Blue,7,14.385903,14.557314,0.030624,14.147469,0.124874,0.113562,0.140782
ESPD_7DB100.txt,Deep Blue,7,114.321625,115.37986,0.20477,112.610023,0.920648,0.790967,0.853485
ESPD_13FR0.txt,Far Red,13,1.136426,9.050172,0.011941,0.047014,0.047047,1.042365,7.901804
ESPD_13FR100.txt,Far Red,13,11.317489,80.324921,0.069053,0.263576,0.240345,10.813568,68.938377
ESPD_14FR0.txt,Far Red,14,0.89875,8.227141,0.011784,0.046554,0.046925,0.805271,7.31661
ESPD_14FR100.txt,Far Red,14,9.824894,80.833183,0.070102,0.263723,0.239923,9.321247,70.938194
ESPD_8G0.txt,Verde,8,11.036916,11.165913,0.017329,0.213299,10.659049,0.164567,0.111669
ESPD_8G100.txt,Verde,8,59.696938,60.231915,0.075919,3.947883,55.09272,0.656328,0.45905
ESPD_10HR0.txt,Hiper Red,10,11.917507,12.089205,0.016809,0.071167,0.084498,11.761843,0.154891
ESPD_10HR100.txt,Hiper Red,10,123.725143,125.240715,0.149531,0.581891,0.691883,122.45137,1.366036
ESPD_11HR0.txt,Hiper Red,11,12.062182,12.237298,0.017971,0.073816,0.08465,11.903716,0.157146
ESPD_11HR100.txt,Hiper Red,11,126.554436,127.942268,0.13679,0.552869,0.64555,125.356018,1.251052
ESPD_12HR0.txt,Hiper Red,12,12.511079,12.696076,0.017493,0.077237,0.0891,12.344743,0.167505
ESPD_12HR100.txt,Hiper Red,12,124.11702,125.585045,0.146512,0.53937,0.668965,122.908676,1.321534
ESPD_9HR0.txt,Hiper Red,9,12.930727,13.110021,0.017886,0.076322,0.086721,12.767683,0.161406
ESPD_9HR100.txt,Hiper Red,9,122.144096,123.563652,0.141357,0.52036,0.642457,120.981277,1.278191
ESPD_3UVA0.txt,Ultravioleta A,3,0.86625,7.505204,6.537104,0.688001,0.080969,0.097281,0.10185
ESPD_3UVA100.txt,Ultravioleta A,3,7.135653,58.745571,51.007103,6.015911,0.554976,0.564767,0.602815
ESPD_1W10.txt,Branca,1,17.53721,18.063612,0.017315,3.914533,8.544599,5.078082,0.509088
ESPD_1W100.txt,Branca,1,142.55101,146.685028,0.116053,33.477596,68.676933,40.396477,4.018015
ESPD_2W0.txt,Branca,2,17.216089,17.705776,0.014694,4.280117,8.326348,4.609635,0.474996
ESPD_2W100.txt,Branca,2,143.080673,147.217255,0.129095,38.203995,67.525803,37.350903,4.007447
